1	0.6139
2	0.58882
3	0.56315
4	0.53693
5	0.51018
6	0.48293
7	0.4552
8	0.42702
9	0.39842
10	0.72978
11	0.70795
12	0.68543
13	0.66223
14	0.63838
15	0.6139
16	0.58882
17	0.56315
18	0.53693
19	0.51018
20	0.48293
21	0.4552
22	0.42702
23	0.39842
24	0.36943
25	0.34007
26	0.31038
27	0.28038
28	0.25011
29	0.21959
30	0.18885
31	0.15793
32	0.12685
33	0.09565
34	0.06435
35	0.03299
36	0.00159
37	-0.0298
38	-0.06117
39	-0.09247
40	-0.12369
41	-0.15478
42	-0.18572
43	-0.21648
44	-0.24702
45	-0.27732
46	-0.30735
47	-0.33707
48	-0.36646
49	-0.39549
50	-0.42413
51	-0.45236
52	-0.48013
53	-0.50743
54	-0.53424
55	-0.56051
56	-0.58624
57	-0.61138
58	-0.63592
59	-0.65984
60	-0.6831
61	-0.7057
62	-0.72759
63	-0.74877
64	-0.76921
65	-0.78889
66	-0.8078
67	-0.8259
68	-0.8432
69	-0.85966
70	-0.87528
71	-0.89003
72	-0.9039
73	-0.91689
74	-0.92896
75	-0.94013
76	-0.95036
77	-0.95966
78	-0.96802
79	-0.97542
80	-0.98185
81	-0.98732
82	-0.99182
83	-0.99534
84	-0.99788
85	-0.99943
86	-1.0
87	-0.99958
88	-0.99818
89	-0.99579
90	-0.99242
91	-0.98807
92	-0.98275
93	-0.97646
94	-0.96921
95	-0.961
96	-0.95184
97	-0.94174
98	-0.93072
99	-0.91878
100	-0.90593
101	-0.89219
102	-0.87758
103	-0.86209
104	-0.84576
105	-0.82859
106	-0.8106
107	-0.79182
108	-0.77225
109	-0.75193
110	-0.73086
111	-0.70907
112	-0.68658
113	-0.66342
114	-0.6396
115	-0.61515
116	-0.5901
117	-0.56446
118	-0.53827
119	-0.51154
120	-0.48431
121	-0.45661
122	-0.42845
123	-0.39987
124	-0.3709
125	-0.34156
126	-0.31188
127	-0.2819
128	-0.25164
129	-0.22113
130	-0.19041
131	-0.15949
132	-0.12842
133	-0.09722
134	-0.06593
135	-0.03457
136	-0.00317
137	0.02822
138	0.05959
139	0.0909
140	0.12212
141	0.15322
142	0.18417
143	0.21494
144	0.24549
145	0.27581
146	0.30585
147	0.33559
148	0.365
149	0.39405
150	0.42271
151	0.45095
152	0.47875
153	0.50608
154	0.53291
155	0.55921
156	0.58496
157	0.61013
158	0.63471
159	0.65866
160	0.68195
161	0.70458
162	0.72651
163	0.74773
164	0.7682
165	0.78793
166	0.80687
167	0.82502
168	0.84235
169	0.85886
170	0.87451
171	0.88931
172	0.90323
173	0.91626
174	0.92838
175	0.93959
176	0.94987
177	0.95922
178	0.96762
179	0.97507
180	0.98156
181	0.98707
182	0.99162
183	0.99519
184	0.99777
185	0.99937
186	0.99999
187	0.99962
188	0.99827
189	0.99593
190	0.99261
191	0.98831
192	0.98304
193	0.9768
194	0.96959
195	0.96143
196	0.95232
197	0.94227
198	0.9313
199	0.9194
200	0.9066
201	0.89291
202	0.87833
203	0.86289
204	0.8466
205	0.82947
206	0.81153
207	0.79278
208	0.77326
209	0.75297
210	0.73194
211	0.71018
212	0.68773
213	0.6646
214	0.64082
215	0.6164
216	0.59137
217	0.56577
218	0.5396
219	0.5129
220	0.4857
221	0.45802
222	0.42988
223	0.40133
224	0.37237
225	0.34305
226	0.31339
227	0.28343
228	0.25318
229	0.22268
230	0.19197
231	0.16106
232	0.13
233	0.09881
234	0.06752
235	0.03616
236	0.00477
237	-0.02663
238	-0.058
239	-0.08931
240	-0.12054
241	-0.15164
242	-0.1826
243	-0.21338
244	-0.24394
245	-0.27427
246	-0.30433
247	-0.33408
248	-0.36351
249	-0.39257
250	-0.42126
251	-0.44952
252	-0.47734
253	-0.50469
254	-0.53155
255	-0.55788
256	-0.58366
257	-0.60886
258	-0.63347
259	-0.65745
260	-0.68078
261	-0.70344
262	-0.72541
263	-0.74666
264	-0.76717
265	-0.78693
266	-0.80592
267	-0.82411
268	-0.84148
269	-0.85803
270	-0.87373
271	-0.88857
272	-0.90254
273	-0.91561
274	-0.92778
275	-0.93904
276	-0.94937
277	-0.95876
278	-0.96721
279	-0.97471
280	-0.98125
281	-0.98681
282	-0.99141
283	-0.99503
284	-0.99766
285	-0.99932
286	-0.99998
287	-0.99967
288	-0.99836
289	-0.99608
290	-0.99281
291	-0.98856
292	-0.98333
293	-0.97714
294	-0.96999
295	-0.96187
296	-0.95281
297	-0.94281
298	-0.93189
299	-0.92004
300	-0.90728
301	-0.89363
302	-0.8791
303	-0.86371
304	-0.84746
305	-0.83037
306	-0.81247
307	-0.79377
308	-0.77428
309	-0.75403
310	-0.73304
311	-0.71132
312	-0.68891
313	-0.66581
314	-0.64206
315	-0.61767
316	-0.59268
317	-0.5671
318	-0.54096
319	-0.51429
320	-0.48711
321	-0.45946
322	-0.43135
323	-0.40281
324	-0.37388
325	-0.34457
326	-0.31493
327	-0.28498
328	-0.25475
329	-0.22426
330	-0.19356
331	-0.16266
332	-0.1316
333	-0.10042
334	-0.06913
335	-0.03778
336	-0.00639
337	0.02501
338	0.05638
339	0.0877
340	0.11893
341	0.15004
342	0.18101
343	0.21179
344	0.24237
345	0.27271
346	0.30278
347	0.33255
348	0.362
349	0.39108
350	0.41979
351	0.44807
352	0.47592
353	0.5033
354	0.53018
355	0.55653
356	0.58234
357	0.60758
358	0.63221
359	0.65623
360	0.67959
361	0.70229
362	0.72429
363	0.74558
364	0.76613
365	0.78593
366	0.80496
367	0.82319
368	0.84061
369	0.8572
370	0.87294
371	0.88783
372	0.90184
